Signal Type,Symbol,Frequency,Huffman Code,Code Length
White Noise,98,67,01110101,8
White Noise,99,76,10111111,8
White Noise,100,74,10101010,8
White Noise,101,72,10010101,8
White Noise,102,75,10110101,8
White Noise,103,77,11000101,8
White Noise,104,67,01110111,8
White Noise,105,84,0000101,7
White Noise,106,92,0100101,7
White Noise,107,71,10010100,8
White Noise,108,74,10100100,8
White Noise,109,62,01101010,8
White Noise,110,89,0011010,7
White Noise,111,78,11010100,8
White Noise,112,92,0100100,7
White Noise,113,95,0101011,7
White Noise,114,78,11010010,8
White Noise,115,81,11101001,8
White Noise,116,60,01101001,8
White Noise,117,84,0000100,7
White Noise,118,79,11011010,8
White Noise,119,68,01111010,8
White Noise,120,79,11011001,8
White Noise,121,71,10010001,8
White Noise,122,74,10100010,8
White Noise,123,73,10011100,8
White Noise,124,65,01110000,8
White Noise,125,74,10100110,8
White Noise,126,69,10000110,8
White Noise,127,77,11001100,8
White Noise,128,83,11111000,8
White Noise,129,98,0110000,7
White Noise,130,82,11110100,8
White Noise,131,82,11110010,8
White Noise,132,77,11000111,8
White Noise,133,80,11100111,8
White Noise,134,81,11101111,8
White Noise,135,68,01111111,8
White Noise,136,66,01110011,8
White Noise,137,65,01110010,8
White Noise,138,89,0011001,7
White Noise,139,88,0010010,7
White Noise,140,76,10111101,8
White Noise,141,88,0010101,7
White Noise,142,75,10110000,8
White Noise,143,76,11000010,8
White Noise,144,68,01111100,8
White Noise,145,74,10100101,8
White Noise,146,75,10110010,8
White Noise,147,79,11011100,8
White Noise,148,95,0101010,7
White Noise,149,77,11001001,8
White Noise,150,96,0101101,7
White Noise,151,80,11100110,8
White Noise,152,82,11110101,8
White Noise,153,85,0001011,7
White Noise,154,74,10100000,8
White Noise,155,80,11100000,8
White Noise,156,70,10001111,8
White Noise,157,76,10111010,8
White Noise,158,93,0100111,7
White Noise,159,111,0110011,7
White Noise,160,83,11111011,8
White Noise,161,68,01111001,8
White Noise,162,75,10101111,8
White Noise,163,75,10110011,8
White Noise,164,81,11101110,8
White Noise,165,77,11000100,8
White Noise,166,77,11001011,8
White Noise,167,82,11110011,8
White Noise,168,71,10010000,8
White Noise,169,88,0010100,7
White Noise,170,81,11110001,8
White Noise,171,73,10011111,8
White Noise,172,87,0010000,7
White Noise,173,93,0100110,7
White Noise,174,73,10011110,8
White Noise,175,68,10000000,8
White Noise,176,78,11010011,8
White Noise,177,71,10010010,8
White Noise,178,91,0100000,7
White Noise,179,79,11011101,8
White Noise,180,76,10111011,8
White Noise,181,75,10101100,8
White Noise,182,67,01110110,8
White Noise,183,83,11110111,8
White Noise,184,89,0011000,7
White Noise,185,79,11010110,8
White Noise,186,81,11101010,8
White Noise,187,82,11110110,8
White Noise,188,83,11111111,8
White Noise,189,83,0000000,7
White Noise,190,69,10000011,8
White Noise,191,66,01110100,8
White Noise,192,75,10110001,8
White Noise,193,85,0001001,7
White Noise,194,78,11001101,8
White Noise,195,70,10001011,8
White Noise,196,81,11110000,8
White Noise,197,75,10111000,8
White Noise,198,80,11100101,8
White Noise,199,86,0001111,7
White Noise,200,78,11001110,8
White Noise,201,73,10011011,8
White Noise,202,80,11100100,8
White Noise,203,68,01111110,8
White Noise,204,81,11101101,8
White Noise,205,83,0000001,7
White Noise,206,85,0001100,7
White Noise,207,65,01110001,8
White Noise,208,88,0010011,7
White Noise,209,67,01111000,8
White Noise,210,65,01101111,8
White Noise,211,76,11000001,8
White Noise,212,80,11100001,8
White Noise,213,70,10001110,8
White Noise,214,79,11011011,8
White Noise,215,81,11101011,8
White Noise,216,83,11111100,8
White Noise,217,63,01101100,8
White Noise,218,72,10011001,8
White Noise,219,89,0011110,7
White Noise,220,75,10110100,8
White Noise,221,86,0001101,7
White Noise,222,77,11000110,8
White Noise,223,74,10100001,8
White Noise,224,70,10001010,8
White Noise,225,85,0001000,7
White Noise,226,62,01101011,8
White Noise,227,69,10001001,8
White Noise,228,93,0101000,7
White Noise,229,84,0000111,7
