Signal Type,Symbol,Frequency,Huffman Code,Code Length
Sawtooth Wave,238,80,11100101,8
Sawtooth Wave,240,80,01111011,8
Sawtooth Wave,241,80,11010100,8
Sawtooth Wave,242,80,0101100,7
Sawtooth Wave,244,80,11000010,8
Sawtooth Wave,245,80,0011010,7
Sawtooth Wave,246,80,10110001,8
Sawtooth Wave,247,80,0001001,7
Sawtooth Wave,249,80,10011111,8
Sawtooth Wave,250,80,11110111,8
Sawtooth Wave,251,80,10001110,8
Sawtooth Wave,252,80,11100110,8
Sawtooth Wave,254,80,01111100,8
Sawtooth Wave,255,1,01101101000,11
White Noise,0,34,111001010,9
White Noise,1,79,11111011,8
White Noise,2,50,00001010,8
White Noise,3,56,01000001,8
White Noise,4,56,00111011,8
White Noise,5,50,00001101,8
White Noise,6,71,11010101,8
White Noise,7,60,01101110,8
White Noise,8,56,00110111,8
White Noise,9,76,11110000,8
White Noise,10,61,01110110,8
White Noise,11,60,01100010,8
White Noise,12,61,01111000,8
White Noise,13,69,11001111,8
White Noise,14,70,11010011,8
White Noise,15,67,10110011,8
White Noise,16,63,10000010,8
White Noise,17,57,01001100,8
White Noise,18,58,01010011,8
White Noise,19,50,00001111,8
White Noise,20,58,01010100,8
White Noise,21,46,00000011,8
White Noise,22,58,01010000,8
White Noise,23,57,01001001,8
White Noise,24,70,11010000,8
White Noise,25,58,01010001,8
White Noise,26,72,11011100,8
White Noise,27,67,10111000,8
White Noise,28,75,11101011,8
White Noise,29,53,00011110,8
White Noise,30,70,11010001,8
White Noise,31,49,00000110,8
White Noise,32,78,11110111,8
White Noise,33,63,10000000,8
White Noise,34,55,00110001,8
White Noise,35,66,10101111,8
White Noise,36,58,01001111,8
White Noise,37,72,11011011,8
White Noise,38,63,10001001,8
White Noise,39,79,11111001,8
White Noise,40,67,10111001,8
White Noise,41,64,10010000,8
White Noise,42,65,10100010,8
White Noise,43,66,10101011,8
White Noise,44,67,10110110,8
White Noise,45,75,11101010,8
White Noise,46,69,11001101,8
White Noise,47,56,01000010,8
White Noise,48,63,10000011,8
White Noise,49,55,00110101,8
White Noise,50,69,11000110,8
White Noise,51,69,11000111,8
White Noise,52,67,10110101,8
White Noise,53,60,01101111,8
White Noise,54,49,00001000,8
White Noise,55,78,11110101,8
White Noise,56,58,01010101,8
White Noise,57,81,11111101,8
White Noise,58,58,01001110,8
White Noise,59,55,00110000,8
